1,Fenerbahçe,21,14,3,4,45,+20
2,Beşiktaş,21,14,2,5,44,+23
3,Galatasaray,21,13,3,5,42,+25
4,Trabzonspor,21,10,6,5,36,+3
5,Gaziantep FK,21,9,8,4,35,+9
6,Hatayspor,21,10,5,6,35,+8
1,Dynamo Kyiv,13,9,3,1,30,+15
2,Shakhtar,13,8,5,0,29,+22
3,Desna Chernihiv,13,6,5,2,23,+7
4,Zorya Luhansk,12,5,5,2,20,+13
5,Vorskla Poltava,13,5,5,3,20,+7
6,FK Kolos,13,4,6,3,18,+2
1,Nacional,25,13,9,3,48,+17
2,Torque,25,12,6,7,42,+13
3,Peñarol,25,11,7,7,40,+10
4,Rentistas,25,9,11,5,38,+9
5,Cerro Largo,25,9,11,5,38,+7
6,Wanderers,25,10,8,7,38,+6
1,Dep La Guaira,16,10,3,3,33,+14
2,Deportivo Lara,16,9,5,2,32,+18
3,Dep Táchira,14,9,4,1,31,+12
4,Caracas,14,9,3,2,30,+16
5,Acad Pr Cabello,16,6,8,2,26,+7
6,Mineros,16,7,3,6,24,0
1,Chelsea,12,10,2,0,32,+32
2,Manchester Utd,13,10,2,1,32,+21
3,Manchester City,12,8,3,1,27,+31
4,Arsenal,11,7,2,2,23,+30
5,Everton,11,5,2,4,17,+4
6,Reading,13,3,6,4,15,-7
1,Paris S-G,13,12,1,0,37,+50
2,Lyon,13,12,0,1,36,+44
3,Bordeaux,13,8,2,3,26,+18
4,Montpellier,13,6,2,5,20,-4
5,Fleury,12,5,4,3,19,-5
6,Paris FC,13,5,3,5,18,-1
1,Bayern Munich,12,12,0,0,36,+39
2,Wolfsburg,12,10,1,1,31,+30
3,Hoffenheim,12,8,1,3,25,+19
4,Turbine Potsdam,11,7,1,3,22,0
5,Leverkusen,12,6,2,4,20,+1
6,E. Frankfurt,12,5,2,5,17,+11
1,Juventus,12,12,0,0,36,+31
2,AC Milan,12,11,0,1,33,+20
3,Sassuolo,12,8,1,3,25,+11
4,Empoli FC,12,6,2,4,20,+12
5,Fiorentina,12,6,2,4,20,+5
6,AS Roma,12,5,4,3,19,+2
1,Portland,0,0,0,0,0,0
2,Washington,0,0,0,0,0,0
3,Sky Blue,0,0,0,0,0,0
4,Chicago,0,0,0,0,0,0
5,Reign,0,0,0,0,0,0
6,Orlando,0,0,0,0,0,0
1,Sydney,4,4,0,0,12,+8
2,Canberra Utd,5,3,2,0,11,+5
3,Brisbane,6,2,4,0,10,+7
4,Adelaide Utd,5,3,0,2,9,+1
5,Melb Victory,5,2,1,2,7,0
6,Newcastle,5,1,1,3,4,-1
1,Ajax,8,7,0,1,21,+13
2,Twente,8,5,1,2,16,+8
3,PSV,7,5,0,2,15,+5
4,ADO Den Haag,8,4,1,3,13,+3
5,Heerenveen,8,3,1,4,10,0
6,Zwolle,8,1,3,4,6,-9
1,Vålerenga,18,11,5,2,38,+25
2,Trondheims-Ørn,18,10,8,0,38,+18
3,Avaldsnes,18,10,4,4,34,+10
4,Sandviken,18,9,3,6,30,+6
5,LSK Kvinner,18,9,2,7,29,+6
6,Lyn,18,6,3,9,21,-6
1,Göteborg,22,17,3,2,54,+45
2,Rosengård,22,14,5,3,47,+43
3,Kristianstad,22,14,3,5,45,+19
4,Linköping,22,12,3,7,39,-2
5,Vittsjö,22,9,4,9,31,-2
6,Växjö,22,8,3,11,27,-14
