Liga Santander,jornada-27,Celta,Athletic,Por definir,Por definir
Liga Santander,jornada-27,Real Madrid,Elche,Por definir,Por definir
Liga Santander,jornada-27,FC Barcelona,Huesca,Por definir,Por definir
Liga Santander,jornada-27,Eibar,Villarreal,Por definir,Por definir
Liga Santander,jornada-27,Getafe,Atlético,Por definir,Por definir
Liga Santander,jornada-27,Osasuna,Valladolid,Por definir,Por definir
Liga Santander,jornada-27,Levante,Valencia,Por definir,Por definir
Liga Santander,jornada-27,Sevilla,Betis,Por definir,Por definir
Liga Santander,jornada-28,Athletic,Eibar,Por definir,Por definir
Liga Santander,jornada-28,Huesca,Osasuna,Por definir,Por definir
Liga Santander,jornada-28,Villarreal,Cádiz,Por definir,Por definir
Liga Santander,jornada-28,Getafe,Elche,Por definir,Por definir
Liga Santander,jornada-28,Valencia,Granada,Por definir,Por definir
Liga Santander,jornada-28,R. Sociedad,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-28,Valladolid,Sevilla,Por definir,Por definir
Liga Santander,jornada-28,Celta,Real Madrid,Por definir,Por definir
Liga Santander,jornada-28,Atlético,Alavés,Por definir,Por definir
Liga Santander,jornada-28,Betis,Levante,Por definir,Por definir
Liga Santander,jornada-29,Alavés,Celta,Por definir,Por definir
Liga Santander,jornada-29,Real Madrid,Eibar,Por definir,Por definir
Liga Santander,jornada-29,FC Barcelona,Valladolid,Por definir,Por definir
Liga Santander,jornada-29,Cádiz,Valencia,Por definir,Por definir
Liga Santander,jornada-29,Osasuna,Getafe,Por definir,Por definir
Liga Santander,jornada-29,R. Sociedad,Athletic,Por definir,Por definir
Liga Santander,jornada-29,Sevilla,Atlético,Por definir,Por definir
Liga Santander,jornada-29,Granada,Villarreal,Por definir,Por definir
Liga Santander,jornada-29,Levante,Huesca,Por definir,Por definir
Liga Santander,jornada-29,Elche,Betis,Por definir,Por definir
Liga Santander,jornada-30,Eibar,Levante,Por definir,Por definir
Liga Santander,jornada-30,Real Madrid,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-30,Valladolid,Granada,Por definir,Por definir
Liga Santander,jornada-30,Villarreal,Osasuna,Por definir,Por definir
Liga Santander,jornada-30,Athletic,Alavés,Por definir,Por definir
Liga Santander,jornada-30,Betis,Atlético,Por definir,Por definir
Liga Santander,jornada-30,Getafe,Cádiz,Por definir,Por definir
Liga Santander,jornada-30,Celta,Sevilla,Por definir,Por definir
Liga Santander,jornada-30,Huesca,Elche,Por definir,Por definir
Liga Santander,jornada-30,Valencia,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-31,Betis,Athletic,Por definir,Por definir
Liga Santander,jornada-31,Granada,Eibar,Por definir,Por definir
Liga Santander,jornada-31,R. Sociedad,Celta,Por definir,Por definir
Liga Santander,jornada-31,Levante,Sevilla,Por definir,Por definir
Liga Santander,jornada-31,Cádiz,Real Madrid,Por definir,Por definir
Liga Santander,jornada-31,Atlético,Huesca,Por definir,Por definir
Liga Santander,jornada-31,Elche,Valladolid,Por definir,Por definir
Liga Santander,jornada-31,Alavés,Villarreal,Por definir,Por definir
Liga Santander,jornada-31,FC Barcelona,Getafe,Por definir,Por definir
Liga Santander,jornada-31,Osasuna,Valencia,Por definir,Por definir
Liga Santander,jornada-32,Valladolid,Cádiz,Por definir,Por definir
Liga Santander,jornada-32,Celta,Osasuna,Por definir,Por definir
Liga Santander,jornada-32,Huesca,Getafe,Por definir,Por definir
Liga Santander,jornada-32,Sevilla,Granada,Por definir,Por definir
Liga Santander,jornada-32,Villarreal,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-32,Athletic,Atlético,Por definir,Por definir
Liga Santander,jornada-32,Real Madrid,Betis,Por definir,Por definir
Liga Santander,jornada-32,Eibar,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-32,Valencia,Alavés,Por definir,Por definir
Liga Santander,jornada-32,Elche,Levante,Por definir,Por definir
Liga Santander,jornada-33,Alavés,Huesca,Por definir,Por definir
Liga Santander,jornada-33,Getafe,Real Madrid,Por definir,Por definir
Liga Santander,jornada-33,Athletic,Valladolid,Por definir,Por definir
Liga Santander,jornada-33,Levante,Villarreal,Por definir,Por definir
Liga Santander,jornada-33,FC Barcelona,Granada,Por definir,Por definir
Liga Santander,jornada-33,R. Sociedad,Sevilla,Por definir,Por definir
Liga Santander,jornada-33,Cádiz,Celta,Por definir,Por definir
Liga Santander,jornada-33,Betis,Valencia,Por definir,Por definir
Liga Santander,jornada-33,Atlético,Eibar,Por definir,Por definir
Liga Santander,jornada-33,Osasuna,Elche,Por definir,Por definir
Liga Santander,jornada-34,Granada,Cádiz,Por definir,Por definir
Liga Santander,jornada-34,Huesca,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-34,Celta,Levante,Por definir,Por definir
Liga Santander,jornada-34,Real Madrid,Osasuna,Por definir,Por definir
Liga Santander,jornada-34,Valladolid,Betis,Por definir,Por definir
Liga Santander,jornada-34,Valencia,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-34,Elche,Atlético,Por definir,Por definir
Liga Santander,jornada-34,Villarreal,Getafe,Por definir,Por definir
Liga Santander,jornada-34,Eibar,Alavés,Por definir,Por definir
Liga Santander,jornada-34,Sevilla,Athletic,Por definir,Por definir
Liga Santander,jornada-35,Athletic,Osasuna,Por definir,Por definir
Liga Santander,jornada-35,Cádiz,Huesca,Por definir,Por definir
Liga Santander,jornada-35,Villarreal,Celta,Por definir,Por definir
Liga Santander,jornada-35,R. Sociedad,Elche,Por definir,Por definir
Liga Santander,jornada-35,Alavés,Levante,Por definir,Por definir
Liga Santander,jornada-35,Valencia,Valladolid,Por definir,Por definir
Liga Santander,jornada-35,Betis,Granada,Por definir,Por definir
Liga Santander,jornada-35,FC Barcelona,Atlético,Por definir,Por definir
Liga Santander,jornada-35,Real Madrid,Sevilla,Por definir,Por definir
Liga Santander,jornada-35,Getafe,Eibar,Por definir,Por definir
Liga Santander,jornada-36,Valladolid,Villarreal,Por definir,Por definir
Liga Santander,jornada-36,Celta,Getafe,Por definir,Por definir
Liga Santander,jornada-36,Sevilla,Valencia,Por definir,Por definir
Liga Santander,jornada-36,Levante,FC Barcelona,Por definir,Por definir
Liga Santander,jornada-36,Eibar,Betis,Por definir,Por definir
Liga Santander,jornada-36,Elche,Alavés,Por definir,Por definir
Liga Santander,jornada-36,Atlético,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-36,Huesca,Athletic,Por definir,Por definir
Liga Santander,jornada-36,Granada,Real Madrid,Por definir,Por definir
Liga Santander,jornada-36,Osasuna,Cádiz,Por definir,Por definir
Liga Santander,jornada-37,Athletic,Real Madrid,Por definir,Por definir
Liga Santander,jornada-37,Betis,Huesca,Por definir,Por definir
Liga Santander,jornada-37,R. Sociedad,Valladolid,Por definir,Por definir
Liga Santander,jornada-37,Atlético,Osasuna,Por definir,Por definir
Liga Santander,jornada-37,Getafe,Levante,Por definir,Por definir
Liga Santander,jornada-37,Valencia,Eibar,Por definir,Por definir
Liga Santander,jornada-37,Alavés,Granada,Por definir,Por definir
Liga Santander,jornada-37,Villarreal,Sevilla,Por definir,Por definir
Liga Santander,jornada-37,Cádiz,Elche,Por definir,Por definir
Liga Santander,jornada-37,FC Barcelona,Celta,Por definir,Por definir
Liga Santander,jornada-38,Real Madrid,Villarreal,Por definir,Por definir
Liga Santander,jornada-38,Osasuna,R. Sociedad,Por definir,Por definir
Liga Santander,jornada-38,Sevilla,Alavés,Por definir,Por definir
Liga Santander,jornada-38,Huesca,Valencia,Por definir,Por definir
Liga Santander,jornada-38,Elche,Athletic,Por definir,Por definir
Liga Santander,jornada-38,Celta,Betis,Por definir,Por definir
Liga Santander,jornada-38,Valladolid,Atlético,Por definir,Por definir
Liga Santander,jornada-38,Granada,Getafe,Por definir,Por definir
Liga Santander,jornada-38,Levante,Cádiz,Por definir,Por definir
Liga Santander,jornada-38,Eibar,FC Barcelona,Por definir,Por definir
Premier League,jornada-1,Fulham,Arsenal,0,3
Premier League,jornada-1,Crystal Pal.,Southampton,1,0
Premier League,jornada-1,Liverpool,Leeds United,4,3
Premier League,jornada-1,West Ham,Newcastle,0,2
Premier League,jornada-1,West Bromwich,Leicester City,0,3
Premier League,jornada-1,Tottenham,Everton,0,1
Premier League,jornada-1,Sheffield United,Wolverhampton,0,2
Premier League,jornada-1,Brighton,Chelsea,1,3
Premier League,jornada-1,Burnley,Man Utd.,0,1
Premier League,jornada-1,Man City,Aston Villa,2,0
Premier League,jornada-2,Everton,West Bromwich,5,2
Premier League,jornada-2,Leeds United,Fulham,4,3
Premier League,jornada-2,Man Utd.,Crystal Pal.,1,3
Premier League,jornada-2,Arsenal,West Ham,2,1
Premier League,jornada-2,Southampton,Tottenham,2,5
Premier League,jornada-2,Newcastle,Brighton,0,3
Premier League,jornada-2,Chelsea,Liverpool,0,2
Premier League,jornada-2,Leicester City,Burnley,4,2
Premier League,jornada-2,Aston Villa,Sheffield United,1,0
