Temporada,Conferencia,Equipo,Victorias,Derrotas,V/D,PuntosPorJuego,PuntosRecibidosPorJuego,SRS
2015-2016,este,Chicago Bulls,42,40,.512,101.6,103.1,-1.46
2015-2016,este,Washington Wizards,41,41,.500,104.1,104.6,-0.50
2015-2016,este,Orlando Magic,35,47,.427,102.1,103.7,-1.68
2015-2016,este,Milwaukee Bucks,33,49,.402,99.0,103.2,-3.98
2015-2016,este,New York Knicks,32,50,.390,98.4,101.1,-2.74
2015-2016,este,Brooklyn Nets,21,61,.256,98.6,106.0,-7.12
2015-2016,este,Philadelphia 76ers,10,72,.122,97.4,107.6,-9.92
2015-2016,oeste,Golden State Warriors*,73,9,.890,114.9,104.1,10.38
2015-2016,oeste,San Antonio Spurs*,67,15,.817,103.5,92.9,10.28
2015-2016,oeste,Oklahoma City Thunder*,55,27,.671,110.2,102.9,7.09
2015-2016,oeste,Los Angeles Clippers*,53,29,.646,104.5,100.2,4.13
2015-2016,oeste,Portland Trail Blazers*,44,38,.537,105.1,104.3,0.98
2015-2016,oeste,Dallas Mavericks*,42,40,.512,102.3,102.6,-0.02
2015-2016,oeste,Memphis Grizzlies*,42,40,.512,99.1,101.3,-2.14
2015-2016,oeste,Houston Rockets*,41,41,.500,106.5,106.4,0.34
2015-2016,oeste,Utah Jazz,40,42,.488,97.7,95.9,1.84
2015-2016,oeste,Sacramento Kings,33,49,.402,106.6,109.1,-2.32
2015-2016,oeste,Denver Nuggets,33,49,.402,101.9,105.0,-2.81
2015-2016,oeste,New Orleans Pelicans,30,52,.366,102.7,106.5,-3.56
2015-2016,oeste,Minnesota Timberwolves,29,53,.354,102.4,106.0,-3.38
2015-2016,oeste,Phoenix Suns,23,59,.280,100.9,107.5,-6.32
2015-2016,oeste,Los Angeles Lakers,17,65,.207,97.3,106.9,-8.92
